title	text	image	duration	price
The mini spa treatment	Offre alla pelle grandi vantaggi in pochissimo tempo lasciando una sensazione di freschezza<br> donando effetti rivitalizzanti con un accento sull'esfoliazione e l'idratazione		30 min	49
High definition peel	"Intensivo trattamento peel mensile consente straordinari miglioramenti anti-aging con risultati visibili.<br>
Esfolia profondamente, riempie e volumizza l'aspetto della pelle lasciando la cute radiosa e levigata"		30 min	150
